t,x
0,10.28
0.033,10.2
0.066,9.783
0.1,9.053
0.133,8.153
0.166,7.025
0.199,5.626
0.233,3.935
0.266,2.244
0.3,0.448
0.333,-1.514
0.366,-3.289
0.399,-5.022
0.433,-6.567
0.499,-9.073
0.533,-9.867
0.566,-10.49
0.599,-10.89
0.633,-10.95
0.666,-10.66
0.699,-10.05
0.734,-9.261
0.766,-9.127
0.799,-7.82
0.833,-7.069
0.866,-5.545
0.899,-3.77
0.934,-1.89
0.966,-0.115
1.001,1.576
1.032,3.308
1.066,4.854
1.099,6.087
1.132,7.108
1.166,7.86
1.199,8.424
1.232,9.49
1.266,10.95
1.332,10.07
1.366,9.127
1.399,7.935
1.432,6.413
1.466,4.888
1.499,3.219
1.532,1.505
1.566,-0.332
1.599,-2.107
1.632,-3.756
1.666,-5.323
1.699,-7.829
1.732,-7.807
1.766,-8.598
1.799,-11.4
1.832,-11.83
1.867,-11.9
1.9,-11.63
1.932,-11.17
1.966,-8.329
1.999,-7.389
2.032,-8.1
2.065,-6.658
2.099,-3.088
2.132,-1.835
2.166,0.42
2.199,2.216
2.232,3.907
2.265,3.908
2.299,5.431
2.333,6.767
2.365,9.273
2.399,10.09
2.432,10.65
2.465,10.96
2.499,10.92
2.532,10.63
2.565,10
2.599,9.19
2.632,8.084
2.665,6.747
2.698,3.698
2.732,2.153
2.765,0.379
2.798,-1.399
2.832,-3.13
2.865,-4.924
2.898,-6.491
2.932,-7.892
2.966,-7.327
2.999,-10.13
3.032,-10.88
3.065,-9.749
3.098,-9.853
3.132,-9.832
3.165,-10.88
3.199,-10.19
3.232,-9.038
3.265,-7.39
3.298,-6.116
3.332,-4.654
3.365,-3.13
3.398,-1.647
3.431,4.49E-02
3.465,1.965
3.498,3.343
3.531,4.804
3.565,5.953
3.598,7.208
3.631,8.084
3.665,8.712
3.698,9.009
3.731,9.688
3.765,9.461
3.798,9.941
3.831,7.54
3.865,8.167
3.899,6.809
3.931,4.241
3.965,2.529
3.998,0.879
4.031,-1.125
4.065,-3.274
4.098,-4.988
4.131,-6.576
4.165,-8.038
4.198,-7.954
4.231,-8.83
4.264,-9.624
4.298,-10.23
4.331,-10.25
4.364,-10.21
4.398,-10.06
4.431,-9.353
4.464,-7.974
4.498,-7.514
4.531,-6.074
4.565,-4.152
4.598,-2.544
4.631,-0.729
4.664,1.025
4.698,2.799
4.731,4.658
4.764,6.204
4.798,7.624
4.831,8.79
4.864,9.44
4.898,10.07
4.931,10.42
4.964,10.63
4.998,10.4
5.031,9.983
5.064,9.295
5.098,8.355
5.131,7.248
5.164,5.848
5.198,4.262
5.231,2.571
5.264,0.795
5.297,-0.979
5.331,-2.88
5.364,-4.549
5.397,-6.074
5.431,-7.494
5.464,-8.642
5.497,-9.498
5.531,-10.08
5.564,-9.751
5.597,-9.749
5.631,-9.374
5.664,-8.955
5.697,-8.184
5.731,-6.91
5.764,-5.802
5.797,-4.049
5.831,-2.42
5.864,-0.667
5.897,1.129
5.931,2.883
5.964,4.575
