t,x
0,9.077
0.034,9.02
0.067,8.739
0.1,8.34
0.134,7.682
0.167,6.876
0.2,5.891
0.234,4.88
0.267,1.892
0.3,0.654
0.334,-0.724
0.367,-2.187
0.4,-3.598
0.434,-5.062
0.467,-6.467
0.5,-7.791
0.534,-9.002
0.567,-10.1
0.6,-11
0.634,-11.79
0.667,-12.38
0.7,-10.75
0.733,-10.92
0.767,-10.92
0.8,-10.75
0.833,-10.39
0.867,-9.817
0.9,-8.972
0.933,-8.074
0.967,-7.005
1,-5.961
1.033,-4.694
1.067,-3.315
1.1,-1.934
1.134,-0.554
1.167,0.826
1.2,2.15
1.233,3.583
1.267,4.82
1.3,5.865
1.333,5.051
1.367,5.866
1.4,8.12
1.434,8.569
1.467,8.795
1.5,8.853
1.534,8.709
1.566,8.346
1.6,7.835
1.633,7.129
1.666,6.233
1.7,3.613
1.733,4.064
1.766,1.221
1.8,1.951
1.833,0.572
1.866,-0.865
1.902,-4.273
1.933,-5.706
1.966,-7.059
2,-8.3
2.033,-9.449
2.066,-9.876
2.1,-10.75
2.133,-11.42
2.166,-11.9
2.199,-12.18
2.233,-12.47
2.266,-12.38
2.299,-12.02
2.333,-11.51
2.366,-10.86
2.399,-9.848
2.433,-8.917
2.466,-7.709
2.499,-6.523
2.533,-5.147
2.566,-4.273
2.599,-2.861
2.633,-1.455
2.666,-7.10E-02
2.699,1.249
2.733,2.458
2.766,3.56
2.799,4.572
2.834,5.413
2.866,6.098
2.899,8.226
2.933,8.544
2.966,8.682
2.999,8.631
3.033,8.404
3.066,7.961
3.099,7.328
3.133,6.568
3.166,4.062
3.199,2.993
3.232,1.811
3.266,0.549
3.299,-0.779
3.332,-2.211
3.366,-3.623
3.399,-5.027
3.432,-6.388
3.466,-7.672
3.499,-8.859
3.532,-9.926
3.566,-10.83
3.599,-11.62
3.632,-12.19
3.666,-12.58
3.699,-12.77
3.732,-12.77
3.766,-12.56
3.799,-12.15
3.832,-11.58
3.866,-10.82
3.899,-9.879
3.932,-8.807
3.965,-7.645
3.999,-6.354
4.032,-4.989
4.065,-3.585
4.099,-2.183
4.132,-0.798
4.165,0.561
4.199,1.837
4.232,2.965
4.265,4.03
4.299,4.959
4.332,5.72
4.365,7.922
4.399,8.371
4.432,6.991
4.465,7.05
4.499,6.905
4.532,6.557
4.565,6.051
4.599,5.347
4.632,4.499
4.665,5.11
4.699,2.403
4.732,1.164
4.765,-0.105
4.798,-1.456
4.832,-2.889
4.865,-4.303
4.898,-5.682
4.932,-7.03
4.965,-8.271
4.998,-9.403
5.032,-10.4
5.065,-11.25
5.098,-11.93
5.132,-12.43
5.165,-12.72
5.198,-12.82
5.232,-12.71
5.265,-12.4
5.298,-11.91
5.332,-11.23
5.365,-10.36
5.398,-9.369
5.432,-8.213
5.465,-6.978
5.498,-5.678
5.532,-4.298
5.565,-2.887
5.598,-1.51
5.632,-0.134
5.665,1.168
5.698,3.981
5.732,5.11
5.765,6.122
5.798,6.998
5.831,7.695
5.865,8.26
5.898,8.569
5.931,8.709
5.965,8.652
5.998,8.424
6.031,8.035
6.065,7.418
6.098,6.63
6.131,5.696
6.165,4.598
6.198,3.361
6.231,2.09
6.265,-0.865
6.298,-2.271
6.331,-3.653
6.365,-5.06
6.398,-6.411
6.431,-7.707
6.465,-8.892
6.498,-9.959
6.531,-10.86
6.564,-11.62
6.598,-12.21
6.632,-12.61
6.664,-12.8
6.698,-12.8
6.731,-12.59
6.764,-12.18
6.798,-11.57
6.831,-10.8
6.864,-9.903
6.898,-8.835
6.931,-7.625
6.964,-6.328
6.998,-4.945
7.031,-3.57
7.064,-2.188
7.098,-0.808
7.131,2.316
7.164,3.559
7.198,4.741
7.231,5.809
7.264,6.714
7.298,7.498
7.331,8.094
7.364,8.513
7.398,8.74
7.431,8.793
7.464,8.657
7.497,8.317
7.531,7.84
7.565,7.11
7.631,5.274
7.664,4.15
