t,x
12.695,-0.108
12.729,-1.376
12.762,-2.622
12.795,-3.795
12.829,-5.973
12.862,-5.368
12.895,-7.31
12.929,-7.8
12.962,-7.445
12.995,-7.495
13.029,-7.344
13.062,-6.975
13.095,-7.423
13.128,-5.3
13.162,-4.255
13.195,-3.444
13.228,-2.442
13.262,-0.516
13.295,0.772
13.328,1.993
13.362,3.183
13.395,4.321
13.428,5.296
13.462,6.174
13.495,6.816
13.528,7.298
13.562,7.565
13.595,7.359
13.628,6.912
13.662,7.225
13.695,6.671
13.728,5.916
13.762,4.999
13.795,4.059
13.828,2.955
13.862,1.716
13.895,0.426
13.928,-0.767
13.962,-2.012
13.995,-3.21
14.028,-4.632
14.061,-5.315
14.095,-6.102
14.128,-6.861
14.161,-6.065
14.195,-6.471
14.228,-6.513
14.261,-6.428
14.295,-7.646
14.328,-7.204
14.361,-6.371
14.395,-5.468
14.428,-4.464
14.461,-3.263
14.495,-2.113
14.528,8.92E-02
14.561,0.142
14.595,1.266
14.628,2.315
14.661,3.241
14.695,4.042
14.728,4.749
14.761,5.234
14.795,6.061
14.828,6.443
14.861,5.948
14.894,5.73
14.928,5.293
14.961,4.733
14.994,4.006
15.028,3.132
15.061,3.697
15.094,2.604
15.128,1.462
15.161,0.293
15.194,-1.039
15.228,-2.25
15.261,-3.347
15.294,-4.375
15.328,-5.314
15.361,-6.108
15.394,-6.663
15.428,-7.108
15.461,-7.639
15.494,-7.589
15.528,-7.442
15.561,-6.951
15.594,-6.661
15.628,-5.567
15.661,-4.494
15.694,-3.111
15.728,-2.045
15.761,-0.735
15.794,0.426
15.827,1.217
15.861,2.761
15.894,3.695
15.927,4.68
15.961,5.503
15.994,6.33
16.027,6.458
16.061,6.606
16.094,6.684
16.127,6.462
16.161,6.158
16.194,6.196
16.227,5.518
16.261,4.824
16.294,3.828
16.327,2.735
16.361,1.495
16.394,0.253
16.427,-1.014
16.461,-2.264
16.494,-3.242
16.527,-4.221
16.561,-5.615
16.594,-6.423
16.627,-6.314
16.66,-6.599
16.694,-7.495
16.727,-7.42
16.761,-7.076
16.794,-6.634
16.827,-5.565
16.86,-4.802
16.894,-3.897
16.927,-2.846
16.96,-1.768
16.994,-0.45
17.027,1.047
17.06,1.83
17.094,3.164
17.127,4.434
17.16,4.998
17.194,6.45
17.227,7.055
17.26,7.218
17.294,7.635
17.327,7.636
17.36,7.466
17.393,6.275
17.428,6.474
17.46,5.726
17.493,4.771
17.527,3.728
17.56,2.628
17.593,1.299
17.627,7.71E-02
17.66,-1.192
17.693,-2.93
17.727,-4.127
17.76,-5.209
17.796,-6.21
17.827,-7.043
17.86,-7.2
17.893,-7.641
17.927,-7.641
17.96,-7.848
17.993,-7.608
18.027,-7.166
18.06,-6.271
18.093,-5.534
18.126,-4.424
18.16,-3.444
18.193,-2.606
18.226,-1.427
18.26,-0.205
18.293,1.281
18.329,2.838
18.36,3.834
18.393,4.344
18.426,6.464
18.46,7.095
18.493,7.236
18.526,7.502
18.56,7.526
18.593,7.376
18.626,6.925
18.66,6.315
18.693,5.878
18.726,5.029
18.76,4.107
18.793,1.705
18.826,0.561
18.86,-0.633
18.893,-1.78
18.926,-2.976
18.96,-4
18.993,-5.242
19.026,-6.061
19.06,-7.048
19.093,-7.707
19.126,-7.856
19.159,-8.049
19.193,-8.025
19.226,-7.828
19.259,-7.339
19.293,-7.298
19.326,-6.515
19.359,-5.583
19.393,-4.183
19.426,-3.032
19.459,-1.835
19.493,-0.641
19.526,0.507
19.559,1.627
19.593,2.647
19.626,3.522
19.66,4.231
19.693,4.838
19.726,5.62
19.759,5.954
19.793,5.996
19.826,5.927
19.859,7.092
19.892,6.173
19.926,5.284
19.959,3.433
19.992,3.294
20.026,2.445
20.059,1.591
20.092,0.265
20.126,-0.503
20.159,-2.174
20.192,-3.323
20.226,-4.044
20.259,-4.974
20.293,-5.782
20.326,-6.563
20.359,-7.125
20.392,-7.371
20.426,-6.752
20.459,-6.534
20.492,-6.874
20.526,-5.623
20.559,-6.061
20.592,-5.08
20.626,-4.028
20.659,-2.904
20.692,-1.683
20.726,-0.465
20.759,0.728
20.792,1.892
20.826,2.962
20.859,3.909
20.892,4.576
20.926,5.202
20.959,5.661
20.992,5.955
21.026,6.11
21.059,5.953
21.092,5.635
21.125,5.192
21.159,4.567
21.192,3.813
21.225,2.893
21.259,1.872
21.292,0.728
21.325,-0.337
21.359,-1.615
21.392,-2.764
21.425,-3.985
21.459,-5.037
21.492,-5.896
21.525,-6.753
21.559,-7.368
21.592,-7.736
21.625,-7.98
21.659,-8.077
21.692,-7.931
21.725,-7.534
21.758,-6.553
21.792,-5.818
21.825,-4.96
21.858,-3.933
21.892,-2.808
21.925,-1.661
21.958,-0.436
21.992,0.864
22.025,1.815
22.058,2.504
22.092,3.426
22.125,4.949
22.158,5.331
22.192,5.255
22.225,6.223
22.258,6.318
22.292,6.221
22.325,5.977
22.358,5.518
22.392,4.959
22.425,4.087
22.458,3.19
22.492,2.291
22.525,1.22
22.558,1.015
22.592,-0.154
22.625,-2.217
22.658,-3.341
22.692,-4.393
22.725,-5.3
22.758,-6.181
22.791,-7.275
22.825,-7.522
22.858,-7.741
22.891,-7.789
22.925,-7.665
22.958,-7.321
22.991,-6.758
23.025,-5.998
23.058,-5.065
23.091,-4.012
23.125,-2.887
23.158,-1.083
23.191,3.87E-02
23.225,1.256
23.258,2.582
23.291,3.626
23.325,4.571
23.358,5.395
23.391,6.05
23.425,6.554
23.458,6.824
23.491,6.943
23.524,6.917
23.558,6.747
23.591,6.311
23.625,5.729
23.658,5.004
23.691,4.388
23.724,3.345
23.758,2.228
23.791,1.062
23.824,-4.23E-02
23.858,-1.26
23.891,-2.431
23.924,-3.531
23.958,-4.485
23.992,-5.317
24.024,-5.957
24.058,-8.305
24.091,-8.6
24.124,-8.643
24.158,-8.546
24.191,-8.224
24.225,-5.234
24.258,-5.217
24.291,-4.428
24.324,-3.402
24.358,-2.28
24.391,-1.09
24.424,0.105
24.457,1.322
24.491,2.465
24.524,3.606
24.557,4.65
24.591,5.543
24.624,6.573
24.657,7.096
24.691,5.49
24.724,5.636
24.757,5.588
24.791,5.415
24.824,6.259
24.859,6.421
24.892,5.004
24.924,4.155
24.957,3.209
24.991,2.164
25.024,1.022
25.057,-0.123
25.091,-1.244
25.124,-2.365
25.157,-3.392
25.193,-4.344
25.224,-5.153
25.257,-5.767
25.291,-7.61
25.324,-7.925
25.357,-8.02
25.39,-7.926
25.424,-7.633
25.457,-7.14
25.49,-6.451
25.524,-4.344
25.557,-3.414
25.59,-2.362
