t,x
26.256,-4.336
26.323,-4.067
26.39,-3.213
26.456,-1.727
26.523,-2.09E-02
26.589,0.955
26.656,3.247
26.723,4.318
26.789,3.685
26.856,4.026
26.923,3.197
26.989,1.856
27.056,0.101
27.123,-1.873
27.189,-3.921
27.256,-3.995
27.322,-5.383
27.389,-4.799
27.456,-4.116
27.522,-2.799
27.589,-1.044
27.656,0.783
27.722,2.515
27.789,3.759
27.856,4.391
27.922,4.341
27.99,3.586
28.056,2.832
28.122,0.664
28.189,-1.072
28.255,-2.776
28.322,-3.873
28.39,-4.506
28.455,-4.364
28.523,-3.58
28.589,-2.263
28.657,-1.702
28.722,1.345
28.789,3.002
28.855,4.342
28.922,3.835
28.989,3.789
29.055,3.149
29.122,1.809
29.188,7.73E-02
29.255,-1.579
29.322,-3.165
29.388,-5.14
29.455,-5.506
29.522,-5.286
29.588,-4.531
29.655,-2.775
29.722,-1.312
29.788,0.101
29.855,1.881
29.922,2.686
29.988,3.661
30.055,3.807
30.121,3.222
30.188,1.783
30.255,0.443
30.321,-1.507
30.388,-2.922
30.455,-4.092
30.521,-4.579
30.588,-4.505
30.655,-3.385
30.721,-2.239
30.788,-1.459
30.855,0.442
30.921,2.466
30.988,3.465
31.054,4.611
31.121,4.173
31.188,2.612
31.254,3.002
31.321,1.589
31.388,-0.122
31.454,-3.725
31.521,-4.994
31.588,-5.164
31.654,-5.899
31.721,-5.335
31.787,-4.091
31.854,-1.118
31.921,1.224
31.988,0.666
32.054,4.246
32.121,5.24
32.187,4.805
32.254,2.563
32.321,1.537
32.387,1.491
32.454,0.297
32.52,-1.312
32.587,-2.533
32.654,-3.384
32.72,-3.604
32.787,-4.458
32.854,-3.432
32.92,-1.873
32.987,-0.191
33.054,2.297
33.12,3.661
33.187,3.831
33.254,4.172
33.32,3.709
33.387,1.808
33.453,0.662
33.52,-0.752
33.587,-2.336
33.653,-3.653
33.72,-4.555
33.787,-5.091
33.853,-4.433
33.92,-3.653
33.987,-2.117
34.053,-0.874
34.12,0.711
34.187,2.149
34.253,3.051
34.32,3.612
34.386,4.343
34.453,3.32
34.52,1.906
34.586,0.175
34.653,-1.508
34.72,-2.946
34.786,-4.823
34.853,-5.163
34.919,-3.923
34.986,-3.214
35.053,-2.41
35.12,-0.825
35.186,0.882
35.253,1.807
35.319,2.759
35.386,3.153
35.453,2.877
35.519,1.98
35.586,0.613
35.653,-1.02
35.719,-2.531
35.786,-4.116
35.853,-5.087
35.919,-4.725
35.986,-4.482
36.052,-3.531
36.119,-2.142
36.186,-0.483
36.252,1.198
36.319,2.639
