t,x
0,19.22
0.034,18.62
0.067,17.5
0.1,14.61
0.134,14.34
0.2,7.878
0.236,5.247
0.267,2.109
0.3,-1.07
0.334,-4.093
0.367,-7.184
0.4,-8.695
0.433,-13.21
0.47,-13.27
0.5,-16.73
0.534,-17.92
0.567,-18.75
0.6,-19.27
0.633,-19.16
0.667,-16.5
0.7,-16.34
0.733,-16.32
0.767,-14.31
0.8,-11.81
0.833,-8.834
0.867,-5.536
0.9,-2.262
0.933,1.356
0.967,4.127
1,6.851
1.033,11.55
1.067,12.9
1.133,15.19
1.167,18.67
1.2,18.8
1.233,18.83
1.267,18.51
1.3,17.82
1.333,15.28
1.366,13.79
1.4,13.65
1.466,6.923
1.5,4.471
1.533,1.338
1.566,-1.139
1.6,-6.336
1.633,-9.289
1.666,-11.99
1.7,-14.05
1.733,-15.86
1.767,-16.55
1.8,-18.4
1.833,-17.88
1.866,-17.76
1.9,-17.4
1.933,-18.04
1.966,-16.89
2,-14.72
2.033,-12.36
2.066,-9.589
2.099,-6.999
2.133,-4.207
2.166,-1.002
2.199,2.96
2.233,6.349
2.266,8.913
2.299,10.72
2.333,13.42
2.366,15.39
2.399,17.25
2.433,17.98
2.466,17.16
2.499,17.54
2.533,16.38
2.566,15.67
2.599,15.37
2.633,13.13
2.666,12.03
2.699,7.768
2.733,6.279
2.799,-1.73E-02
2.833,-4.139
2.866,-7.139
2.899,-9.474
2.966,-14.88
2.999,-14.65
3.033,-15.95
3.066,-16.85
3.099,-19
3.132,-18.47
3.166,-16.5
3.199,-16.27
3.232,-14.05
3.266,-13.53
3.299,-10.89
3.332,-7.299
3.366,-4.528
3.399,-1.529
3.432,1.609
3.466,4.769
3.499,6.809
3.532,9.371
3.566,12.71
3.599,13.63
3.632,15.26
3.665,16.01
3.699,17.77
3.732,17.96
3.765,17.61
3.799,17.11
3.832,14.09
3.865,12.99
3.899,12.35
3.932,10.47
3.965,6.279
3.999,3.556
4.032,0.509
4.065,-2.24
4.099,-5.146
4.132,-7.871
4.165,-11.67
4.199,-14.03
4.232,-15.93
4.265,-17.33
4.299,-18.04
4.332,-18.4
4.365,-18.61
4.398,-18.34
4.432,-17.6
4.465,-16.32
4.499,-14.37
4.532,-12.11
4.565,-9.245
4.598,-6.52
4.632,-3.063
4.665,2.85E-02
4.699,3.28
4.732,5.592
4.765,8.203
4.798,11.82
4.832,12.42
4.865,14.64
4.898,15.58
4.932,16.54
4.965,17.32
4.998,17.41
5.032,16.97
5.065,15.67
5.098,14.66
5.132,13.01
5.165,9.692
5.198,6.989
5.232,4.447
5.265,1.494
5.298,-1.414
5.332,-4.32
5.365,-7.137
5.398,-10.14
5.432,-12.47
5.465,-14.53
5.498,-16.14
5.532,-16.82
5.565,-18
