t,x
0,15.59
0.033,15.46
0.066,14.89
0.1,14.05
0.133,12.9
0.166,11.12
0.201,8.727
0.233,6.372
0.266,3.865
0.299,1.294
0.333,-1.477
0.366,-4.049
0.399,-6.448
0.433,-8.558
0.468,-10.19
0.501,-12.03
0.533,-12.8
0.566,-13.68
0.599,-14.21
0.633,-15.29
0.666,-14.98
0.699,-14.12
0.733,-13.11
0.766,-11.83
0.799,-8.207
0.833,-6.314
0.866,-4.072
0.9,-1.609
0.933,0.9
0.966,3.405
0.999,5.802
1.033,8.067
1.066,10.09
1.099,11.94
1.133,13.41
1.166,12.53
1.199,14.99
1.233,15.35
1.266,15.3
1.299,14.75
1.332,12.16
1.366,12.97
1.399,11.1
1.432,9.167
1.466,6.967
1.499,4.396
1.532,1.779
1.566,-0.862
1.599,-3.454
1.632,-5.876
1.666,-7.944
1.699,-9.415
1.732,-10.96
1.766,-12.12
1.799,-13.13
1.832,-14.85
1.866,-15.09
1.899,-13.64
1.932,-13.05
1.966,-11.88
1.999,-10.38
2.032,-9.02
2.066,-7.149
2.099,-4.863
2.133,-2.467
2.166,-0.136
2.199,2.351
2.232,4.858
2.266,7.319
2.299,9.453
2.332,11.3
2.365,12.93
2.399,13.37
2.432,14.2
2.466,13.44
2.499,14.75
2.532,13.24
2.565,13.67
2.599,13.37
2.632,11.78
2.665,9.783
2.699,7.539
2.732,5.077
2.765,2.417
2.799,-0.157
2.832,-2.665
2.865,-5.28
2.899,-8.053
2.932,-9.306
2.965,-10.38
2.999,-12.38
3.032,-13.55
3.065,-14.1
3.098,-14.28
3.132,-14.15
3.165,-13.68
3.198,-12.82
3.232,-10.73
3.265,-10.89
3.298,-8.646
3.332,-5.897
3.365,-3.501
3.398,-1.212
3.432,1.294
3.465,3.956
3.498,6.331
3.532,8.552
3.565,10.51
3.598,12.16
3.632,13.59
3.665,14.58
3.698,13.06
3.732,14.56
3.765,13.1
3.798,12.53
3.832,13.52
3.931,8.067
3.965,5.736
3.998,3.338
4.031,0.832
4.065,-1.675
4.098,-4.05
4.131,-6.248
4.165,-8.14
4.198,-9.436
4.231,-12.32
4.265,-11.77
4.298,-14.1
4.331,-14.41
4.365,-13.5
4.398,-13.07
4.431,-13.35
4.465,-12.21
4.498,-11.2
4.531,-9.195
4.565,-7.305
4.598,-3.917
4.631,-1.85
4.665,-0.157
4.698,2.724
4.731,5.254
4.765,7.498
4.798,9.586
4.831,11.48
4.864,13.06
4.898,12.31
4.931,14.27
4.964,13.92
4.998,13.9
5.031,13.92
5.064,11.76
5.098,12.51
5.131,10.77
5.164,8.859
5.198,7.363
5.231,4.9
5.264,2.35
5.298,-0.114
5.331,-2.334
5.364,-4.534
5.398,-6.733
5.431,-8.844
5.464,-10.56
5.498,-11.42
5.531,-11.95
5.564,-12.69
5.598,-13.07
5.631,-13.35
5.664,-12.96
5.697,-10.49
5.731,-11.33
5.797,-6.821
5.831,-3.631
5.864,-1.411
5.897,0.503
5.931,2.767
5.964,4.945
5.997,8
6.031,7.716
6.064,9.299
6.097,10.55
6.131,11.7
6.164,13.02
6.197,13.43
6.231,13.15
6.264,14.09
6.297,11.45
6.331,12.33
6.364,11.01
6.431,6.463
6.464,4.043
6.497,1.537
6.531,0.174
6.564,-2.223
6.597,-4.555
6.63,-7.041
6.664,-8.053
6.697,-9.085
6.73,-10.91
6.764,-13.29
6.797,-13.55
6.83,-13.22
6.864,-13.55
6.897,-13.22
6.93,-11.29
6.964,-10.54
6.997,-9.262
7.03,-6.381
7.064,-4.643
7.098,-2.621
7.131,-0.442
7.164,1.471
7.197,4.725
7.23,5.12
7.264,8.771
7.297,10.35
7.33,11.32
7.364,13.48
7.397,12.18
7.43,14.4
7.463,14.47
7.497,12.29
7.53,11.54
7.564,11.01
7.597,11.01
7.63,9.167
7.697,5.253
7.73,3.056
7.763,0.436
7.797,-1.894
7.83,-4.335
7.865,-6.623
7.897,-7.238
7.93,-8.975
7.963,-11.26
7.997,-11.95
8.03,-13.18
8.063,-12.93
8.097,-13.44
8.13,-12.08
8.163,-12.78
8.197,-10.82
8.23,-9.679
8.263,-9.151
8.296,-6.842
8.363,-1.345
8.396,-0.377
8.43,4.175
8.496,8.332
8.53,7.583
8.563,9.344
8.596,11.43
8.63,11.94
8.663,12.69
8.698,13.94
8.73,13.54
8.763,13.1
8.798,11.21
8.83,9.256
8.863,9.453
8.897,7.453
8.93,5.253
8.963,3.823
8.996,1.404
9.029,-1.037
9.063,-3.633
9.096,-5.589
9.129,-8.69
9.163,-8.689
9.196,-9.901
9.229,-12.63
9.263,-12.06
9.296,-13.84
9.329,-13.61
9.363,-13.48
9.396,-11.77
9.429,-10.65
9.463,-9.372
9.496,-7.283
9.529,-7.833
9.563,-3.874
9.596,-1.85
9.629,0.129
9.663,3.56
9.696,3.999
9.729,7.539
9.763,9.299
9.796,10.69
9.829,12.44
9.863,13.13
9.896,13.9
9.929,12.42
9.962,12.02
9.996,12.93
10.029,11.43
10.062,10.08
10.096,10.27
10.129,8.331
10.162,6.33
10.196,3.274
10.229,1.954
10.262,4.09E-02
10.296,-2.729
10.329,-5.082
10.362,-7.306
10.396,-9.152
10.429,-11.09
10.462,-11.99
10.496,-11.73
10.529,-12.78
10.562,-12.93
10.596,-13.24
10.629,-11.55
10.662,-12.21
10.696,-9.416
10.729,-8.757
10.762,-6.996
10.796,-5.589
10.829,-1.83
10.862,0.149
10.895,2.306
10.929,4.308
10.962,5.889
10.995,7.474
11.029,10.73
11.062,9.981
11.095,13.13
11.129,12.91
11.162,14.12
11.196,14.34
11.229,12.38
11.262,13.13
11.295,11.72
11.329,10.42
11.362,9.168
11.395,7.43
11.428,4.858
11.462,1.338
11.495,-0.112
11.529,-2.622
11.562,-3.588
11.595,-5.789
11.629,-7.744
11.662,-9.327
11.695,-11.42
11.728,-12.54
11.762,-13.15
11.795,-13.44
11.828,-12.45
11.862,-11.72
11.895,-12.43
11.928,-11.18
11.962,-9.789
11.995,-8.426
12.028,-4.997
12.062,-3.06
12.095,-0.993
12.128,1.557
12.162,2.898
12.195,6.572
12.229,6.329
12.262,9.936
12.295,9.607
12.328,10.82
12.362,11.37
12.395,12.31
12.428,12.47
12.495,12.75
12.528,12.14
12.562,11.08
12.595,7.672
12.628,7.364
12.661,5.165
12.695,1.162
12.728,-0.641
12.761,-1.807
12.795,-3.213
12.828,-5.414
12.861,-7.282
12.895,-9.13
12.928,-10.93
12.961,-12.08
12.995,-13.24
13.028,-12.12
13.061,-12.36
13.095,-13.42
13.128,-12.12
13.161,-10.71
13.195,-9.856
13.228,-8.558
13.261,-7.04
13.295,-3.543
13.328,-1.366
13.361,0.414
13.394,2.042
13.428,6.11
13.461,7.804
13.494,7.563
13.528,8.948
13.561,10.42
13.594,11.34
13.628,11.7
13.661,13.48
13.694,12.33
13.728,13.3
13.761,12.23
13.794,11.1
13.828,9.804
13.861,8.375
13.895,5.958
13.928,4.02
13.961,1.25
13.994,-0.662
14.028,-3.609
14.061,-4.424
14.094,-6.292
14.128,-8.032
14.161,-9.174
14.194,-11.02
14.228,-12.5
14.262,-13.2
14.295,-12.36
14.328,-13.4
14.361,-11.4
14.394,-10.21
14.427,-9.174
14.461,-8.36
14.495,-6.711
14.527,-3.435
14.561,-1.39
14.594,0.657
14.627,2.705
14.661,4.747
14.694,6.548
14.727,8.815
14.761,9.388
14.794,12.36
14.827,11.26
14.861,11.52
14.894,11.76
14.927,11.89
14.961,12.42
14.994,11.3
15.027,10
15.061,10.33
15.094,8.398
15.127,6.372
15.16,4.175
15.194,2.305
15.227,-0.201
15.263,-1.828
15.294,-4.007
15.327,-6.315
15.36,-8.074
15.394,-11.09
15.427,-11.59
15.461,-11.72
15.494,-12.8
15.527,-13.35
15.56,-13.26
15.627,-10.98
15.66,-10.07
15.694,-8.69
15.727,-7.546
16.206,-4.115
16.24,-2.181
16.273,4.14E-02
16.306,2.108
16.34,4.176
16.373,6.331
16.406,7.606
16.439,10.05
16.473,10.29
16.506,10.86
16.539,11.76
16.573,11.85
16.639,12.91
16.673,12.03
16.706,10.73
16.739,9.058
16.773,7.232
16.806,5.011
16.839,4.922
16.873,2.548
16.906,0.129
16.939,-2.379
16.974,-4.27
17.006,-6.953
17.039,-7.261
17.073,-8.778
17.106,-11.9
17.139,-11.59
17.173,-12.41
17.206,-12.52
17.239,-12.49
17.273,-11.07
17.306,-10.71
17.339,-11.55
17.373,-8.534
17.406,-8.602
17.472,-4.732
17.506,-0.949
17.539,1.58
17.572,2.284
17.606,4.351
17.639,5.759
17.672,7.54
17.706,10.88
17.739,12.03
17.772,12.88
17.806,13.46
17.839,13.04
17.872,13.15
17.906,11.37
17.939,12.14
17.972,10.71
18.006,9.012
18.039,7.165
18.072,5.056
18.106,2.636
18.139,0.415
18.172,-0.86
18.206,-2.995
18.239,-5.038
18.272,-6.91
18.306,-8.866
18.339,-10.16
18.372,-11.48
18.405,-12.41
18.439,-13
18.472,-13.24
18.505,-12.96
18.539,-12.52
18.572,-11.59
18.605,-8.47
18.639,-7.372
18.672,-7.13
18.705,-3.743
18.739,-2.73
18.805,3.01
18.838,5.715
18.872,5.78
18.905,7.452
18.938,8.881
18.972,9.914
19.005,12.6
19.038,13.19
19.072,13.21
19.105,11.37
19.139,12.07
19.172,12.27
19.205,11.26
19.238,9.894
19.272,7.673
19.305,5.912
19.338,3.669
19.372,1.403
19.405,-0.949
19.439,-3.039
19.472,-5.523
